"module name","licenses","repository","licenseUrl","parents"
"better-assert@1.0.2","UNKNOWN","https://github.com/visionmedia/better-assert","https://github.com/visionmedia/better-assert","zoonavigator-web"
"big.js@3.1.3","MIT","https://github.com/MikeMcl/big.js","https://github.com/MikeMcl/big.js/raw/master/LICENCE","zoonavigator-web"
"binary-extensions@1.8.0","MIT","https://github.com/sindresorhus/binary-extensions","https://github.com/sindresorhus/binary-extensions/raw/master/license","zoonavigator-web"
"blob@0.0.4","UNKNOWN","https://github.com/rase-/blob","https://github.com/rase-/blob","zoonavigator-web"
"block-stream@0.0.9","ISC","https://github.com/isaacs/block-stream","https://github.com/isaacs/block-stream/raw/master/LICENCE","zoonavigator-web"
"blocking-proxy@0.0.5","MIT","https://github.com/angular/jasminewd","https://github.com/angular/jasminewd/raw/master/LICENSE","zoonavigator-web"
"bluebird@3.5.0","MIT","https://github.com/petkaantonov/bluebird","https://github.com/petkaantonov/bluebird/raw/master/LICENSE","zoonavigator-web"
"bn.js@4.11.6","MIT","https://github.com/indutny/bn.js","https://github.com/indutny/bn.js","zoonavigator-web"
"body-parser@1.17.1","MIT","https://github.com/expressjs/body-parser","https://github.com/expressjs/body-parser/raw/master/LICENSE","zoonavigator-web"
"boolbase@1.0.0","ISC","https://github.com/fb55/boolbase","https://github.com/fb55/boolbase","zoonavigator-web"
"boom@2.10.1","BSD-3-Clause","https://github.com/hapijs/boom","https://github.com/hapijs/boom/raw/master/LICENSE","zoonavigator-web"
"boxen@1.0.0","MIT","https://github.com/sindresorhus/boxen","https://github.com/sindresorhus/boxen/raw/master/license","zoonavigator-web"
"brace-expansion@1.1.6","MIT","https://github.com/juliangruber/brace-expansion","https://github.com/juliangruber/brace-expansion","zoonavigator-web"
"brace@0.9.1","MIT","https://github.com/thlorenz/brace","https://github.com/thlorenz/brace/raw/master/LICENSE","zoonavigator-web"
"braces@0.1.5","MIT","https://github.com/jonschlinkert/braces","https://github.com/jonschlinkert/braces/blob/master/LICENSE-MIT","expand-braces:zoonavigator-web"
"braces@1.8.5","MIT","https://github.com/jonschlinkert/braces","https://github.com/jonschlinkert/braces/raw/master/LICENSE","zoonavigator-web"
"brorand@1.1.0","MIT","https://github.com/indutny/brorand","https://github.com/indutny/brorand","zoonavigator-web"
