Category,License,Dependency,Notes
Mozilla,Mozilla Public License version 2.0 (http://www.mozilla.org/MPL/2.0/),net.sourceforge.htmlunit # htmlunit-core-js # 2.17,
Public Domain,Public Domain,aopalliance # aopalliance # 1.0,
unrecognized,Eclipse Public License 1.0 (http://www.eclipse.org/legal/epl-v10.html),junit # junit # 4.12,
unrecognized,The W3C Software License (http://www.w3.org/Consortium/Legal/copyright-software-19980720),org.w3c.css # sac # 1.3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),cglib # cglib-nodep # 2.1_3,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.google.guava # guava # 22.0,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.google.inject # guice # 4.0,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.google.inject.extensions # guice-assistedinject # 4.0,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),commons-io # commons-io # 2.4,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),commons-logging # commons-logging # 1.2,
unrecognized,none specified (none specified),javax.transaction # jta # 1.1,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.apache.commons # commons-lang3 # 3.4,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.apache.httpcomponents # httpclient # 4.5.2,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.apache.httpcomponents # httpcore # 4.4.4,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.apache.zookeeper # zookeeper # 3.4.8,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.eclipse.jetty # jetty-io # 9.2.15.v20160210,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.eclipse.jetty # jetty-util # 9.2.15.v20160210,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.eclipse.jetty.websocket # websocket-api # 9.2.15.v20160210,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.eclipse.jetty.websocket # websocket-client # 9.2.15.v20160210,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.eclipse.jetty.websocket # websocket-common # 9.2.15.v20160210,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.seleniumhq.selenium # selenium-api # 2.48.2,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.seleniumhq.selenium # selenium-chrome-driver # 2.48.2,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.seleniumhq.selenium # selenium-edge-driver # 2.48.2,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.seleniumhq.selenium # selenium-firefox-driver # 2.48.2,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.seleniumhq.selenium # selenium-htmlunit-driver # 2.48.2,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.seleniumhq.selenium # selenium-ie-driver # 2.48.2,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.seleniumhq.selenium # selenium-java # 2.48.2,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.seleniumhq.selenium # selenium-leg-rc # 2.48.2,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.seleniumhq.selenium # selenium-remote-driver # 2.48.2,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.seleniumhq.selenium # selenium-safari-driver # 2.48.2,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.seleniumhq.selenium # selenium-support # 2.48.2,
